molecule,conformer_id,pool_index,common_scaffold_cluster,common_scaffold_representative,relative_electronic_energy_kj_mol,electronic_weight_if_representative,total_mean_clearance_probe_0_5_angstrom,total_top_decile_clearance_probe_0_5_angstrom,total_positive_clearance_integral_probe_0_5_angstrom,nonlocal_mean_clearance_probe_0_5_angstrom,nonlocal_top_decile_clearance_probe_0_5_angstrom,re_nonlocal_mean_clearance_probe_0_5_angstrom,si_nonlocal_mean_clearance_probe_0_5_angstrom,para_substituent_limiter_fraction,direct_para_substituent_nonlocal_integral_delta_angstrom,direct_para_substituent_total_mean_clearance_delta_angstrom,direct_para_substituent_nonlocal_environment_mean_clearance_delta_angstrom,re_minus_si_nonlocal_mean_clearance_angstrom,minimum_para_substituent_distance_from_carbonyl_c_angstrom,carbonyl_c_o_length_angstrom,amide_c_n_length_angstrom,mayer_bond_order_c_o,mayer_bond_order_c_n,loewdin_charge_carbonyl_c,loewdin_charge_carbonyl_o,loewdin_charge_amide_n,dipole_magnitude_debye,homo_lumo_gap_ev,benzoyl_carbonyl_torsion_abs_mean_deg
1ptBuBz-LSD_RR,conf004,188,dft_core_cluster_001,True,0.0,0.39844466308051774,-0.8237435441815909,0.07717583551396269,0.007752293315394601,-0.7047101491870745,0.3019883472614272,-0.6856843954825673,-0.7237359028915817,0.034722222222222224,0.0,-0.0040853130094368195,-0.0190157716460726,0.03805150740901442,5.88757737038062,1.216006886430197,1.4029529859877725,2.0881,1.0372,0.098568,-0.169221,0.021155,6.285121579,4.1035,39.2859129863719
1ptBuBz-LSD_RR,conf002,176,dft_core_cluster_002,True,0.16300972460786958,0.3730868533907094,-0.8224813348250093,0.07650928503142523,0.007689850241715132,-0.7045874617010016,0.30158898570727477,-0.7212130556187071,-0.6879618677832962,0.034722222222222224,0.0,-0.003951920013069765,-0.018930296416526327,-0.03325118783541092,5.88727154458159,1.2159222133024332,1.4030056665224746,2.089,1.0369,0.09851,-0.168852,0.021132,6.654354361,4.103,39.31978288680176
1ptBuBz-LSD_RR,conf003,74,dft_core_cluster_001,False,0.22309749172874122,,-0.8224457719566045,0.07776555249766594,0.007807552085121831,-0.7011018096618212,0.30740121940283643,-0.7204066105493157,-0.6817970087743268,0.03611111111111111,0.0,-0.005060216565052511,-0.019975146252734555,-0.038609601774988844,5.888096535357509,1.2158970275874172,1.4030867783995298,2.0878,1.0374,0.098595,-0.169048,0.021147,6.664597053,4.1022,39.28539782616356
1ptBuBz-LSD_RR,conf009,77,dft_core_cluster_003,True,2.9988628093095544,0.11884748075730997,-0.8244074252580532,0.07766116987137642,0.007798442968078133,-0.7025595483076889,0.30575897420824194,-0.7107839558693818,-0.694335140745996,0.03194444444444444,0.0,-0.007832955471243519,-0.020276895599507072,-0.016448815123385807,5.885726328845693,1.2160223649337245,1.4029483148463147,2.0872,1.0377,0.09862,-0.16913,0.021249,6.599463971,4.0999,38.979945189316155
1ptBuBz-LSD_RR,conf010,59,dft_core_cluster_002,False,3.0121503523111763,,-0.824402360529636,0.07790200566182409,0.007820736071691318,-0.7017469722282423,0.30771377679688966,-0.7118254305979044,-0.6916685138585802,0.03194444444444444,0.0,-0.007948808512295624,-0.02057003826420767,-0.020156916739324182,5.886077244476172,1.2160719866844942,1.4028643394073537,2.0867,1.0381,0.098638,-0.169282,0.021305,6.570964249,4.1018,39.13174043787957
1ptBuBz-LSD_RR,conf001,154,dft_core_cluster_004,True,6.278168811481341,0.031657777672448775,-0.8423871640449508,0.07532101513303731,0.007611107069290924,-0.752933138664673,0.26024912587817894,-0.7653870885485469,-0.7405481857330644,0.034722222222222224,0.0,-0.009175812852771248,-0.02167127144624248,-0.02483890281548251,5.875841383723192,1.2148032982179369,1.4113375002011728,2.1076,1.018,0.100329,-0.16616,0.013896,4.974265379,4.073300000000001,37.061073134586536
1ptBuBz-LSD_RR,conf006,184,dft_core_cluster_005,True,6.729281959827876,0.02639057303853334,-0.8430984963026423,0.07557979376365351,0.0076357676305510045,-0.7541193838728388,0.2616248919124369,-0.7714784225220325,-0.7368565171829204,0.03333333333333333,0.0,-0.009755924451832931,-0.023738596347289365,-0.034621905339112025,5.876288368298631,1.2150919518609016,1.41071986391599,2.1056,1.0205,0.09997,-0.167847,0.013731,3.290479457,4.0495,36.715836414347784
1ptBuBz-LSD_RR,conf007,194,dft_core_cluster_006,True,6.755073232634412,0.026117426728491825,-0.8249090845941722,0.0766490955803188,0.007724501909937653,-0.7287510655256805,0.2681868297159533,-0.7074297369430467,-0.7501911758831481,0.0375,0.0,-0.004392866124343198,-0.01935716853851155,0.042761438940101426,5.877801710509538,1.2152060625429222,1.410634834038137,2.1045,1.021,0.100002,-0.168286,0.013855,1.839587506,4.0361,36.73156069114671
1ptBuBz-LSD_RR,conf008,181,dft_core_cluster_007,True,6.8187371694412064,0.025455225331988976,-0.8244116630687478,0.07802808996465961,0.007854189384625268,-0.7284213766844317,0.2699019851178704,-0.7013756504244186,-0.7556177755141386,0.04027777777777778,0.0,-0.0054803843043824685,-0.020668976065315814,0.05424212508971993,5.8775283907869955,1.2151943544755748,1.410765662729724,2.1054,1.0202,0.100072,-0.168129,0.013836,1.842490476,4.0259,35.90431027308001
1ptBuBz-LSD_RR,conf005,93,dft_core_cluster_005,False,6.837668933132216,,-0.8380158380925907,0.07538242075493663,0.007617708689804247,-0.7499432463946629,0.2605934306725237,-0.7566227856053102,-0.7433007129414154,0.0375,0.0,-0.00386164988970783,-0.01866689774612318,-0.013322072663894735,5.877513715536439,1.2150346916748187,1.410740909319742,2.1062,1.0201,0.099955,-0.167775,0.013681,3.343800885,4.0521,36.930865463058566
